58
338.98,301.259 340.026,230.93
338.98,301.259 337.615,230.705
338.98,301.259 339.815,271.788
339.815,271.788 339.703,269.452
339.703,269.452 339.779,229.119
339.815,271.788 339.843,254.65
339.815,271.788 340.269,247.609
338.98,301.259 339.414,230.133
338.98,301.259 338.882,287.71
338.882,287.71 338.858,228.442
338.882,287.71 338.752,236.688
338.882,287.71 338.806,238.984
338.882,287.71 338.669,245.687
338.882,287.71 338.87,280.199
338.87,280.199 338.795,271.209
338.98,301.259 338.556,229.597
338.98,301.259 338.562,231.286
338.98,301.259 337.814,247.554
337.814,247.554 337.58,238.996
338.98,301.259 337.571,272.021
338.98,301.259 339.94,304.287
338.98,301.259 337.661,228.66
338.98,301.259 338.255,270.337
338.255,270.337 338.125,255.821
338.255,270.337 338.219,261.851
338.255,270.337 338.473,254.688
338.98,301.259 339.558,262.665
339.558,262.665 339.874,239.162
338.98,301.259 337.571,302.987
338.98,301.259 337.723,296.357
338.98,301.259 340.073,279.382
338.98,301.259 339.145,294.417
338.98,301.259 339.17,278.475
339.17,278.475 339.279,263.884
339.17,278.475 339.339,255.736
339.17,278.475 339.438,237.43
339.17,278.475 339.491,261.658
339.17,278.475 339.18,246.816
338.98,301.259 337.332,229.728
338.98,301.259 337.738,263.869
338.98,301.259 340.146,287.651
338.98,301.259 338.341,295.43
338.98,301.259 337.408,280.052
338.98,301.259 337.887,294.089
338.98,301.259 339.832,295.656
338.98,301.259 340.052,245.285
340.052,245.285 340.199,238.135
338.98,301.259 337.85,304.983
338.98,301.259 337.437,246.067
338.98,301.259 338.714,302.77
338.714,302.77 339.094,305.008
338.98,301.259 337.346,278.318
338.98,301.259 338.323,285.827
338.98,301.259 340.287,278.032
338.98,301.259 337.93,286.875
338.98,301.259 337.614,269.433
338.98,301.259 337.321,270.77
79
338.98,301.259 339.648,229.121
338.98,301.259 338.516,230.166
338.516,230.166 338.374,229.028
338.98,301.259 337.6,231.019
338.98,301.259 339.38,230.738
338.98,301.259 339.334,286.586
338.98,301.259 337.392,229.371
338.98,301.259 337.377,279.389
337.377,279.389 337.321,278.366
338.98,301.259 338.342,262.343
338.98,301.259 337.903,303.987
337.903,303.987 339.238,305.198
337.903,303.987 338.231,305.199
338.98,301.259 339.458,262.474
339.458,262.474 339.983,237.2
339.983,237.2 340.291,231.278
339.458,262.474 340.039,245.265
339.458,262.474 339.255,253.717
338.98,301.259 340.05,288.667
340.05,288.667 340.108,285.908
338.98,301.259 337.612,253.617
337.612,253.617 337.549,236.785
337.612,253.617 337.326,239.271
337.612,253.617 337.725,238.286
337.612,253.617 337.618,246.944
338.98,301.259 337.862,270.239
338.98,301.259 337.576,255.878
338.98,301.259 340.294,261.334
338.98,301.259 338.83,246.151
338.83,246.151 338.957,237.887
338.83,246.151 338.885,236.762
338.98,301.259 339.293,296.652
338.98,301.259 340.091,279.365
340.091,279.365 340.117,278.253
338.98,301.259 340.239,254.595
338.98,301.259 338.993,287.85
338.993,287.85 337.438,228.371
338.993,287.85 337.738,261.542
338.993,287.85 338.679,277.97
338.679,277.97 338.253,264.149
338.98,301.259 339.146,278.865
339.146,278.865 338.84,255.305
339.146,278.865 339.106,244.785
339.106,244.785 339.514,239.387
338.98,301.259 338.561,295.724
338.561,295.724 337.923,287.278
338.561,295.724 337.604,280.371
338.561,295.724 337.704,285.971
338.98,301.259 340.133,230.067
340.133,230.067 340.279,228.32
338.98,301.259 337.706,296.841
337.706,296.841 337.5,295.658
338.98,301.259 337.574,302.859
338.98,301.259 339.699,295.058
338.98,301.259 338.662,247.462
338.662,247.462 338.55,238.868
338.98,301.259 339.196,280.507
339.196,280.507 339.86,264.001
338.98,301.259 337.725,271.686
337.725,271.686 337.329,263.233
338.98,301.259 338.162,294.744
338.162,294.744 337.451,288.399
338.98,301.259 338.653,303.134
338.98,301.259 340.289,271.513
338.98,301.259 338.783,272.225
338.783,272.225 338.835,261.357
338.783,272.225 338.416,254.267
338.783,272.225 338.757,271.183
338.783,272.225 338.462,253.057
338.98,301.259 340.308,296.448
338.98,301.259 340.263,305.108
338.98,301.259 339.688,304.201
338.98,301.259 338.07,245.463
338.98,301.259 339.735,269.445
339.735,269.445 339.957,255.806
339.957,255.806 339.931,247.13
338.98,301.259 339.829,302.768
338.98,301.259 338.989,294.14
74
338.98,-301.259 339.54,230.697
338.98,-301.259 338.466,262.576
338.466,262.576 337.362,270.359
337.362,270.359 337.591,272.097
338.466,262.576 339.207,261.873
338.466,262.576 339.455,269.627
338.466,262.576 338.721,263.942
338.98,-301.259 337.663,229.82
338.98,-301.259 339.902,229.482
339.902,229.482 337.511,230.879
339.902,229.482 338.817,228.575
339.902,229.482 338.805,245.208
339.902,229.482 337.42,228.682
339.902,229.482 337.733,238.753
339.902,229.482 340.082,228.378
339.902,229.482 338.682,236.856
339.902,229.482 338.726,238.966
339.902,229.482 337.815,237.521
338.98,-301.259 338.033,246.604
338.033,246.604 338.967,247.371
338.98,-301.259 338.454,230.503
338.454,230.503 339.441,238.146
338.454,230.503 339.987,236.736
339.987,236.736 340.076,239.195
338.98,-301.259 338.328,286.845
338.98,-301.259 339.505,279.79
339.505,279.79 339.694,287.863
339.694,287.863 338.635,288.427
339.694,287.863 337.728,294.47
339.505,279.79 338.393,279.841
338.393,279.841 339.231,286.097
339.505,279.79 337.631,288.764
339.505,279.79 337.374,286.321
338.98,-301.259 340.225,253.39
340.225,253.39 338.092,253.791
340.225,253.39 339.272,255.105
338.98,-301.259 339.755,271.686
339.755,271.686 338.587,271.16
338.98,-301.259 337.963,296.144
338.98,-301.259 337.879,303.151
338.98,-301.259 340.029,296.32
340.029,296.32 339.382,294.202
340.029,296.32 338.946,302.691
340.029,296.32 338.852,296.878
340.029,296.32 339.999,302.256
338.98,-301.259 339.13,304.041
339.13,304.041 337.702,304.903
339.13,304.041 340.199,304.918
339.13,304.041 339.901,303.39
338.98,-301.259 339.295,278.389
339.295,278.389 337.86,277.762
339.295,278.389 340.24,277.872
338.98,-301.259 337.981,269.555
337.981,269.555 340.269,270.578
338.98,-301.259 339.996,245.691
339.996,245.691 337.407,244.873
339.996,245.691 337.454,254.766
339.996,245.691 340.293,246.655
340.293,246.655 339.95,247.609
339.996,245.691 337.823,247.702
338.98,-301.259 337.712,287.764
337.712,287.764 338.743,295.106
337.712,287.764 340.075,295.123
338.98,-301.259 337.737,261.734
337.737,261.734 337.448,263.578
338.98,-301.259 339.687,263.537
339.687,263.537 340.236,262.008
339.687,263.537 338.837,272.14
338.98,-301.259 338.885,253.006
338.885,253.006 340.289,255.277
338.885,253.006 338.443,255.887
338.98,-301.259 337.611,279.056
337.611,279.056 340.257,286.047
78
338.98,301.259 338.385,271.989
338.385,271.989 338.13,229.374
338.98,301.259 338.756,230.298
338.98,301.259 339.958,247.467
338.98,301.259 339.544,228.405
338.98,301.259 338.395,288.754
338.98,301.259 339.76,229.462
338.98,301.259 340.228,302.763
340.228,302.763 339.059,302.891
338.98,301.259 337.89,230.986
338.98,301.259 338.534,287.278
338.534,287.278 338.512,254.712
338.534,287.278 339.295,246.371
338.534,287.278 338.533,269.61
338.534,287.278 338.27,278.561
338.98,301.259 339.982,245.448
339.982,245.448 340.221,230.972
339.982,245.448 339.96,236.726
338.98,301.259 339.516,286.882
339.516,286.882 340.181,279.09
338.98,301.259 338.25,237.879
338.25,237.879 338.001,228.36
338.98,301.259 339.509,303.817
339.509,303.817 339.638,304.965
338.98,301.259 338.956,255.684
338.98,301.259 338.03,270.984
338.98,301.259 337.444,277.88
338.98,301.259 337.512,303.128
338.98,301.259 339.441,253.436
339.441,253.436 339.213,237.424
339.441,253.436 339.269,231.296
339.441,253.436 339.549,239.024
338.98,301.259 339.653,296.743
339.653,296.743 340.312,294.04
338.98,301.259 337.852,285.928
338.98,301.259 339.407,261.31
338.98,301.259 338.584,279.954
338.584,279.954 338.179,253.651
338.584,279.954 337.913,246.427
338.584,279.954 338.202,261.827
338.584,279.954 337.407,244.898
338.584,279.954 338.491,264.143
338.584,279.954 337.385,230.049
338.584,279.954 337.906,238.857
338.584,279.954 337.976,247.691
337.976,247.691 337.932,236.539
338.584,279.954 338.679,262.886
338.98,301.259 338.822,294.516
338.98,301.259 340.05,271.682
340.05,271.682 340.186,261.966
338.98,301.259 337.625,263.313
337.625,263.313 337.737,255.765
337.625,263.313 337.353,254.526
338.98,301.259 339.078,285.934
338.98,301.259 338.521,295.948
338.98,301.259 339.295,278.105
339.295,278.105 339.699,254.695
339.699,254.695 340.308,238.213
339.295,278.105 339.573,270.063
339.295,278.105 340.042,263.038
339.295,278.105 339.039,270.983
338.98,301.259 339.915,288.771
339.915,288.771 340.126,285.988
338.98,301.259 337.546,296.444
338.98,301.259 337.489,279.797
338.98,301.259 340.167,280.183
338.98,301.259 340.09,295.638
338.98,301.259 337.351,304.689
338.98,301.259 338.714,244.964
338.98,301.259 337.584,294.339
338.98,301.259 337.513,286.974
338.98,301.259 338.458,304.12
338.98,301.259 337.443,288.354
338.98,301.259 337.38,261.229
338.98,301.259 338.525,296.953
338.98,301.259 340.066,287.74
338.98,301.259 337.458,269.511
80
338.98,301.259 338.631,231.214
338.631,231.214 338.813,229.232
338.98,301.259 340.274,230.041
338.98,301.259 338.059,229.985
338.98,301.259 338.196,287.155
338.196,287.155 337.324,262.965
338.196,287.155 337.525,278.076
338.196,287.155 337.444,270.687
338.98,301.259 339.638,231.28
338.98,301.259 337.784,228.383
338.98,301.259 339.735,278.854
339.735,278.854 340.289,270.319
339.735,278.854 339.849,254.876
338.98,301.259 337.33,255.526
338.98,301.259 337.677,238.764
337.677,238.764 337.365,231.215
338.98,301.259 339.968,228.901
338.98,301.259 337.902,261.754
338.98,301.259 340.096,261.621
338.98,301.259 339.099,255.572
338.98,301.259 337.845,253.135
337.845,253.135 337.918,246.618
